キャラクターID,名前,セリフ,背景,イベントフラグ,分岐判定,シーン切り替え,名前,分岐セリフ,メモ
,,違和感を忘れて急いで着替えようとあたふたしていると家のインターホンがなり冬馬と凜が玄関から話しかけてきた。,,,,,,,
2,冬馬,「おーい、悠希。大丈夫か遅刻するぞー。」,,,,,,,
3,凜,「どうしたの。なんか困ってるなら手伝うけど……。」,,,,,,,
1,悠希,「だ、大丈夫だから～。あと少し待って～」,,,,,,,
1,悠希,（とりあえず、急いで着替えなきゃ。下着は……分からないから下だけでいいや。で制服をきて……よし、これで大丈夫だろ。）,,,,,,,
,,俺は勉強机に置いてあった学校用のバッグを背負って玄関に向かった。,,,,,,,
1,悠希,「行ってきま～す」,,,,,,,
,,と言って家を出た。そこには、冬馬と凜が二人で雑談しながら待っていた。,,,,,,,
,,しかし、俺を見るなり不思議そうな顔をした。,,,,,,,
2,冬馬,「誰だ？お前」,,,,,,,
3,凜,「あなた誰よ？」,,,,,,,
1,悠希,「何言ってんだよ？俺だって。悠希だよ」,,,,,,,
2,冬馬,「はぁ？お前こそ何言ってんだ？悠希は男だぞ」,,,,,,,
3,凜,「そうよ」,,,,,,,
1,悠希,「え？」,,,,,,,
,,そう言われて凜に渡された手鏡で自分の姿を確認して見ると……。,,,,,,,
,,そこには黒髪ロングで赤い瞳の美少女がいた。,,,,,,,
1,悠希,「え～⁉俺、女の子になってるのか！」,,,,,,,
2,冬馬,「本当に悠希なのか？」,,,,,,,
3,凜,「そうだよ。やっと信じてくれた」,,,,,,,
3,凜,「どうしてそんなことになったの？」,,,,,,,
1,悠希,「確かに。えっと、多分、朝起きて気付いたらなってた……。」,,,,,,,
3,凜,「そう。よくわからないわね」,,,,,,,
1,悠希,「だよね……」,,,,,,,
2,冬馬,「とりあえず学校に急ごうぜ」,,,,,,,
3,凜,「そうね。学校で理事長にも相談してみましょ。」,,,,,,,
,,,,,,,,,
1,悠希,「ふぅ～、間に合った」,学校（昇降口）,,,,,,
3,凜,「まずは理事長室へ向かうわよ」,,,,,,,
2,冬馬,「俺らの学校の理事長って悠希の父親なんだよな」,,,,,,,
1,悠希,「それよりどうやって説明するの？」,,,,,,,
3,凜,「まぁ、正直に話すしかないんじゃないかしら」,,,,,,,
2,冬馬,「だよなぁ」,,,,,,,
1,悠希,「ですよね」,,,,,,,
,,悠希、冬馬、凜の三人は悠希の父親にTSSしてしまったことを正直に説明し今後の学校の生活の相談をした。,,,,,,,
,,その結果、悠希は結城と名乗り転校生として生活することになった。,,,,,,,
2,冬馬,「まさかあんな方法を思いつくのは流石、理事長だな」,,,,,,,
3,凜,「これでとりあえずは大丈夫そうね」,,,,,,,
1,悠希,「二人ともありがとね」,,,,,,,
1,悠希,「もし詮索されたらどうするの？」,,,,,,,
3,凜,「私たちは、結城の幼い頃、知り合いだったという設定で行きましょ」,,,,,,,
2,冬馬,「なるほど、了解」,,,,,,,
3,凜,「私たちは、先に教室にいってるわね」,,,,,,,
1,悠希,「うん、分かった。またね」,,,,,,,
,,,,,,,,,
,,,学校（教室）,,,,,,
